video_id,channel_id,channel_title,title,view_count,like_count,comment_count,published_at,outlier_score
zR-jKOtkVyU,UCaOm0WoOuPZJPl7GOsprzEw,Personal Finance Declutter,Bank of America Preferred Rewards : Review,10548,178,33,2020-01-10 02:30:02+03:00,52.4515
mp1YuLi8BKA,UCk_TpncJMwQvCyqvLVp2SNw,Raksi Monique Personal Finance,Mixed Girls Tag | Raksi Monique,8701,86,68,2014-07-31 09:39:51+03:00,40.8285
RcIE7ZVdbDo,UCve6AcM_V7mnpBCl9TFjRRg,Your Personal Finance 360,NPS T1 14% Hidden Benefit with new regime | Truth no one told you!,24093,349,125,2025-11-27 13:30:31+03:00,35.7795
KQj2l-IBjGA,UCgqU4kDON1LwuBbtmlSO9-g,Panda Boss - Personal Finance & Bossing Life,Why You Feel Broke on a £50k UK Salary (And How to Fix It),26660,547,371,2026-05-20 18:45:03+03:00,14.8797
2qUWv0jcKsA,UCBxa4d96Gq2GAbIBkbw9nzg,The Personal Finance Show,COVID-19 Weekly Update #8 (The Personal Finance Show),22,0,0,2020-05-18 06:24:44+03:00,12.9412
mvy3aoIwZw8,UC8hRZgzTh25ZgpStQCBWOLg,Info Sphere - Personal Finance & Wealth Building,OLA Cab Business - How to Start Business With Ola By Attaching Your Car And Earn More Then Lakhs,414619,3425,300,2016-11-07 22:17:20+03:00,9.886
m8R_BKJ-F-k,UC-5JG7ApVwWgIIg0bDSy5_Q,Personal Finance Insider,"Microsoft President Brad Smith On Artificial Intelligence, Trump And Immigration",24635,122,12,2018-02-14 18:29:16+03:00,9.0179
lF-aS6KeWpg,UCBxa4d96Gq2GAbIBkbw9nzg,The Personal Finance Show,COVID-19 Weekly Update #12 (The Personal Finance Show),17,0,1,2020-06-18 06:20:36+03:00,8.5
SeF9MYtRo14,UC5xCzuZbREEHswnZc9zHK7g,Personal Finance Factory,12 genius tips to help you save money in the kitchen.,358,10,5,2023-04-28 16:00:41+03:00,7.7155
9om_NZTV6gU,UChWBKpyL-WNwnuMdrpUvR_Q,Shihab Personal Finance,HOW TO FILE YOUR TAXES IN CANADA USING TURBOTAX ONLINE,11393,111,65,2023-03-11 16:00:08+03:00,6.7303
Af2cT84hh8c,UCDdVWGejfB3_M57sWv3yniQ,ProudMoney - Credit Cards & Personal Finance,"NEW CREDIT CARD: OnePay / Walmart Credit Card Review 2025 💳 Walmart Mastercard (or ""Spend"" Card)",40857,807,168,2025-08-26 00:28:41+03:00,6.675
JvtaN8usLxg,UCMw07uiVxGULqePlrOZnx9A,Personal Finance with Leila - Debt Over It,the BEST financial decisions people have made,83559,2981,238,2026-05-14 18:07:41+03:00,6.5516
rUVmfReCa7M,UCMw07uiVxGULqePlrOZnx9A,Personal Finance with Leila - Debt Over It,33 Years Old & Here's Exactly What I'm Worth,46791,1045,244,2026-07-12 17:00:26+03:00,6.3488
waJ2B-b936E,UCDdVWGejfB3_M57sWv3yniQ,ProudMoney - Credit Cards & Personal Finance,"UNBOXED: ""Mirror"" American Express Platinum Has Arrived! See the latest Amex Plat version!",27936,467,133,2025-09-24 23:07:04+03:00,5.9467
DExL8nj_z0A,UCMw07uiVxGULqePlrOZnx9A,Personal Finance with Leila - Debt Over It,Real emergency funds revealed,71141,2103,355,2026-06-18 21:05:44+03:00,5.8658
5VwBGhCww3M,UC-5JG7ApVwWgIIg0bDSy5_Q,Personal Finance Insider,Amazon Is Shaking Up A Healthcare Industry That's Ripe For Disruption,31592,414,46,2018-02-01 21:00:03+03:00,5.5589
-ltXkCzWwiY,UC9TwYQOO9mAxoF4v8ZioySg,Tom Crosshill,How Much € Do You Need Invested to Live Off Dividends,541883,7948,300,2026-03-10 21:00:00+03:00,5.3546
uW1J1Nt76JI,UCN2kIpBA_A3aVjcR67HnFng,My Personal Finances,"[LIVE] PC00055: How to Present the Best Version of Yourself with Aanont ""Non"" Wathanasin",243,6,0,2021-11-19 21:38:00+03:00,5.3083
tbAITx_aB1c,UC5xCzuZbREEHswnZc9zHK7g,Personal Finance Factory,Why it's important to save money?,82,5,0,2023-02-21 16:00:40+03:00,4.881
kAM2IOY_zFg,UC-5JG7ApVwWgIIg0bDSy5_Q,Personal Finance Insider,Jim Chanos Says Elon Musk Just Told His 'Biggest Whopper' About Tesla Yet,11780,59,53,2018-02-21 19:12:34+03:00,4.7515
SCpgKvZB_VQ,UC-5JG7ApVwWgIIg0bDSy5_Q,Personal Finance Insider,"Jeff Bezos Talks Amazon, Blue Origin, Family, And Wealth",3020825,38317,5091,2018-05-05 23:00:01+03:00,4.451
HcytG0AdMv4,UC5xCzuZbREEHswnZc9zHK7g,Personal Finance Factory,5 methods for budgeting your money,206,7,0,2023-03-21 17:00:07+03:00,4.4301
